参数,值
动作空间维度,24 (所有关节)
观测空间维度,87
动作缩放 (action\_scale),0.5
动作噪声,Gaussian(σ=0.05) + bias(σ=0.015)
观测噪声,Gaussian(σ=0.002) + bias(σ=0.0001)
